снег;белый
дом;многоэтажный
солнце;весеннее
гриб;съедобный
город;многонаселённый
ёлка;новогодняя
программа;образовательная
игра;познавательная
медаль;золотая
рыба;речная
школа;старшая
снег;зимний
автомобиль;гоночный
дом;жилой
солнце;яркое
гриб;лесной
город;опустевший
ёлка;зелёная
программа;вирусная
игра;настольная
медаль;почётная
рыба;хищная
школа;начальная
снег;пушистый
автомобиль;скоростной
дом;деревенский
солнце;жёлтое
гриб;ядовитый
город;родной
ёлка;украшенная
программа;компьютерная
игра;интересная
медаль;олимпийская
рыба;морская
школа;специальная
снег;холодный
автомобиль;тюнингованный
дом;строящийся
солнце;ослепительное
гриб;вкусный
город;столичный
ёлка;праздничная
программа;продвинутая
игра;виртуальная
медаль;бронзовая
рыба;океаническая
школа;деревенская
снег;тающий
автомобиль;полицейский
дом;одноэтажный
солнце;осеннее
гриб;маленький
город;российский
ёлка;растущая
программа;школьная
игра;весёлая
медаль;серебряная
рыба;озёрная
школа;младшая
